Регион ;Федеральный округ;дата;значение;28.03.2020;29.03.2020;30.03.2020;31.03.2020;01.04.2020;02.04.2020;03.04.2020;04.04.2020;05.04.2020;06.04.2020;07.04.2020;08.04.2020;09.04.2020;10.04.2020
Тверская область;Центральный федеральный округ;;;;;1;;1;;1;;;2;;4;7;5
Томская область;Сибирский федеральный округ;;;;1;;;;;;;;;;1;;
Тульская область;Центральный федеральный округ;;;3;;1;;5;;;2;10;10;10;5;12;5
Тюменская область;Уральский федеральный округ;;;;1;;2;;;5;;;;7;;1;3
Удмуртская Республика;Приволжский федеральный округ;;;;;;;;;;1;;;4;;;2
Ульяновская область;Приволжский федеральный округ;;;;;;;;;;;;1;2;;2;34
Хабаровский край;Дальневосточный федеральный округ;;;;2;;1;1;;1;;1;;5;8;;4
Ханты-Мансийский АО;Уральский федеральный округ;;;;1;;;3;;8;;3;;19;3;;
Челябинская область;Уральский федеральный округ;;;4;3;2;;7;;2;3;1;4;1;;2;
Чеченская Республика;Северо-Кавказский федеральный округ;;;2;4;;;1;;2;3;;1;1;5;;
Ямало-Ненецкий автономный округ;Уральский федеральный округ;;;;;;;;2;10;;;;18;11;;
Ярославская область;Центральный федеральный округ;;;;1;;;;;;2;1;;5;;2;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
