Region;Federal District;Date;Cases;Deaths
Tambov Region;Central Federal District;11.04.2020;;
Tver region;Central Federal District;11.04.2020;7;
Tomsk region;Siberian Federal District;11.04.2020;;
Tula region;Central Federal District;11.04.2020;;
Tyumen region;Ural federal district;11.04.2020;8;
Udmurtia;Volga Federal District;11.04.2020;;
Ulyanovsk region;Volga Federal District;11.04.2020;22;
Khabarovsk region;Far Eastern Federal District;11.04.2020;1;1
Khanty-Mansi Autonomous Okrug;Ural federal district;11.04.2020;;
Chelyabinsk region;Ural federal district;11.04.2020;6;
Chechen Republic;North Caucasus Federal District;11.04.2020;8;
Yamal-Nenets Autonomous Okrug;Ural federal district;11.04.2020;9;
Yaroslavskaya oblast;Central Federal District;11.04.2020;;
Altai region;Siberian Federal District;12.04.2020;;
Amur region;Far Eastern Federal District;12.04.2020;11;
Arhangelsk region;Northwestern Federal District;12.04.2020;;
Astrakhan region;Southern Federal District;12.04.2020;8;
Belgorod region;Central Federal District;12.04.2020;5;
Bryansk region;Central Federal District;12.04.2020;18;
Vladimir region;Central Federal District;12.04.2020;23;
Volgograd region;Southern Federal District;12.04.2020;5;
Vologda Region;Northwestern Federal District;12.04.2020;3;
Voronezh region;Central Federal District;12.04.2020;12;
Jewish Autonomous Region;Far Eastern Federal District;12.04.2020;;
Zabaykalsky Krai;Far Eastern Federal District;12.04.2020;4;
Ivanovo region;Central Federal District;12.04.2020;18;
Irkutsk region;Siberian Federal District;12.04.2020;5;
Kabardino-Balkarian Republic;North Caucasus Federal District;12.04.2020;5;
Kaliningrad region;Northwestern Federal District;12.04.2020;5;
Kaluga region;Central Federal District;12.04.2020;;
Kamchatka Krai;Far Eastern Federal District;12.04.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;12.04.2020;2;
Kemerovo region;Siberian Federal District;12.04.2020;;
Kirov region;Volga Federal District;12.04.2020;1;
Kostroma region;Central Federal District;12.04.2020;3;1
Krasnodar region;Southern Federal District;12.04.2020;31;
Krasnoyarsk region;Siberian Federal District;12.04.2020;25;
Kurgan region;Ural federal district;12.04.2020;1;
Kursk region;Central Federal District;12.04.2020;1;
Leningrad region;Northwestern Federal District;12.04.2020;5;
Lipetsk region;Central Federal District;12.04.2020;5;
Magadan Region;Far Eastern Federal District;12.04.2020;;
Moscow;Central Federal District;12.04.2020;1306;14
Moscow region;Central Federal District;12.04.2020;278;4
Murmansk region;Northwestern Federal District;12.04.2020;61;
Nizhny Novgorod Region;Volga Federal District;12.04.2020;42;
Novgorod region;Northwestern Federal District;12.04.2020;;
Novosibirsk region;Siberian Federal District;12.04.2020;;
Omsk region;Siberian Federal District;12.04.2020;2;
Orenburg region;Volga Federal District;12.04.2020;;
Oryol Region;Central Federal District;12.04.2020;;
Penza region;Volga Federal District;12.04.2020;;
Perm region;Volga Federal District;12.04.2020;15;
Primorsky Krai;Far Eastern Federal District;12.04.2020;1;
Pskov region;Northwestern Federal District;12.04.2020;;
Republic of Adygea;Southern Federal District;12.04.2020;;
Republic of Bashkortostan;Volga Federal District;12.04.2020;19;1
Republic of Buryatia;Far Eastern Federal District;12.04.2020;12;
Republic of Dagestan;North Caucasus Federal District;12.04.2020;;
Republic of Ingushetia;North Caucasus Federal District;12.04.2020;;1
Republic of Kalmykia;Southern Federal District;12.04.2020;;
Republic of Karelia;Northwestern Federal District;12.04.2020;;
Komi Republic;Northwestern Federal District;12.04.2020;;
Republic of Crimea;Southern Federal District;12.04.2020;2;
Mari El Republic;Volga Federal District;12.04.2020;7;
The Republic of Mordovia;Volga Federal District;12.04.2020;23;
The Republic of Sakha (Yakutia);Far Eastern Federal District;12.04.2020;3;
Republic of North Ossetia - Alania;North Caucasus Federal District;12.04.2020;7;
Republic of Tatarstan;Volga Federal District;12.04.2020;;
Tyva Republic;Siberian Federal District;12.04.2020;;
The Republic of Khakassia;Siberian Federal District;12.04.2020;;
Chuvash Republic;Volga Federal District;12.04.2020;11;
Rostov region;Southern Federal District;12.04.2020;14;
Ryazan Oblast;Central Federal District;12.04.2020;16;
Samara Region;Volga Federal District;12.04.2020;3;
St. Petersburg;Northwestern Federal District;12.04.2020;69;
Saratov region;Volga Federal District;12.04.2020;7;
Sakhalin Oblast;Far Eastern Federal District;12.04.2020;;
Sverdlovsk region;Ural federal district;12.04.2020;4;
Sevastopol;Southern Federal District;12.04.2020;;
Smolensk region;Central Federal District;12.04.2020;;1
Stavropol region;North Caucasus Federal District;12.04.2020;8;
Tambov Region;Central Federal District;12.04.2020;15;
Tver region;Central Federal District;12.04.2020;;
Tomsk region;Siberian Federal District;12.04.2020;;
Tula region;Central Federal District;12.04.2020;3;
Tyumen region;Ural federal district;12.04.2020;9;
Udmurtia;Volga Federal District;12.04.2020;2;
Ulyanovsk region;Volga Federal District;12.04.2020;8;
Khabarovsk region;Far Eastern Federal District;12.04.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;12.04.2020;;
Chelyabinsk region;Ural federal district;12.04.2020;;
Chechen Republic;North Caucasus Federal District;12.04.2020;17;2
Yamal-Nenets Autonomous Okrug;Ural federal district;12.04.2020;12;
Yaroslavskaya oblast;Central Federal District;12.04.2020;14;
Altai region;Siberian Federal District;13.04.2020;2;
Amur region;Far Eastern Federal District;13.04.2020;;
Arhangelsk region;Northwestern Federal District;13.04.2020;7;
Astrakhan region;Southern Federal District;13.04.2020;1;
Belgorod region;Central Federal District;13.04.2020;;
Bryansk region;Central Federal District;13.04.2020;1;
Vladimir region;Central Federal District;13.04.2020;13;
Volgograd region;Southern Federal District;13.04.2020;6;
Vologda Region;Northwestern Federal District;13.04.2020;1;
Voronezh region;Central Federal District;13.04.2020;11;
Jewish Autonomous Region;Far Eastern Federal District;13.04.2020;1;
Zabaykalsky Krai;Far Eastern Federal District;13.04.2020;6;
Ivanovo region;Central Federal District;13.04.2020;6;
Irkutsk region;Siberian Federal District;13.04.2020;7;
Kabardino-Balkarian Republic;North Caucasus Federal District;13.04.2020;15;
Kaliningrad region;Northwestern Federal District;13.04.2020;4;
Kaluga region;Central Federal District;13.04.2020;10;
Kamchatka Krai;Far Eastern Federal District;13.04.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;13.04.2020;2;
Kemerovo region;Siberian Federal District;13.04.2020;2;
Kirov region;Volga Federal District;13.04.2020;15;
Kostroma region;Central Federal District;13.04.2020;;
Krasnodar region;Southern Federal District;13.04.2020;41;
Krasnoyarsk region;Siberian Federal District;13.04.2020;25;
Kurgan region;Ural federal district;13.04.2020;;
Kursk region;Central Federal District;13.04.2020;15;
Leningrad region;Northwestern Federal District;13.04.2020;16;
Lipetsk region;Central Federal District;13.04.2020;6;
Magadan Region;Far Eastern Federal District;13.04.2020;1;
Moscow;Central Federal District;13.04.2020;1355;10
Moscow region;Central Federal District;13.04.2020;495;1
Murmansk region;Northwestern Federal District;13.04.2020;;1
Nizhny Novgorod Region;Volga Federal District;13.04.2020;30;3
Novgorod region;Northwestern Federal District;13.04.2020;8;
Novosibirsk region;Siberian Federal District;13.04.2020;8;
Omsk region;Siberian Federal District;13.04.2020;1;
Orenburg region;Volga Federal District;13.04.2020;20;
Oryol Region;Central Federal District;13.04.2020;5;
Penza region;Volga Federal District;13.04.2020;17;
Perm region;Volga Federal District;13.04.2020;;
Primorsky Krai;Far Eastern Federal District;13.04.2020;4;
Pskov region;Northwestern Federal District;13.04.2020;5;
Republic of Adygea;Southern Federal District;13.04.2020;;
Republic of Bashkortostan;Volga Federal District;13.04.2020;23;
Republic of Buryatia;Far Eastern Federal District;13.04.2020;4;
Republic of Dagestan;North Caucasus Federal District;13.04.2020;;
Republic of Ingushetia;North Caucasus Federal District;13.04.2020;5;
Republic of Kalmykia;Southern Federal District;13.04.2020;;
Republic of Karelia;Northwestern Federal District;13.04.2020;1;
Komi Republic;Northwestern Federal District;13.04.2020;;
Republic of Crimea;Southern Federal District;13.04.2020;1;
Mari El Republic;Volga Federal District;13.04.2020;10;
The Republic of Mordovia;Volga Federal District;13.04.2020;16;
The Republic of Sakha (Yakutia);Far Eastern Federal District;13.04.2020;3;
Republic of North Ossetia - Alania;North Caucasus Federal District;13.04.2020;;
Republic of Tatarstan;Volga Federal District;13.04.2020;11;
Tyva Republic;Siberian Federal District;13.04.2020;;
The Republic of Khakassia;Siberian Federal District;13.04.2020;;
Chuvash Republic;Volga Federal District;13.04.2020;15;
Rostov region;Southern Federal District;13.04.2020;26;
Ryazan Oblast;Central Federal District;13.04.2020;18;
Samara Region;Volga Federal District;13.04.2020;5;
St. Petersburg;Northwestern Federal District;13.04.2020;121;
Saratov region;Volga Federal District;13.04.2020;2;
Sakhalin Oblast;Far Eastern Federal District;13.04.2020;;
Sverdlovsk region;Ural federal district;13.04.2020;7;
Sevastopol;Southern Federal District;13.04.2020;;
Smolensk region;Central Federal District;13.04.2020;4;
Stavropol region;North Caucasus Federal District;13.04.2020;12;
Tambov Region;Central Federal District;13.04.2020;;
Tver region;Central Federal District;13.04.2020;44;
Tomsk region;Siberian Federal District;13.04.2020;4;
Tula region;Central Federal District;13.04.2020;11;
Tyumen region;Ural federal district;13.04.2020;14;
Udmurtia;Volga Federal District;13.04.2020;16;
Ulyanovsk region;Volga Federal District;13.04.2020;;
Khabarovsk region;Far Eastern Federal District;13.04.2020;14;
Khanty-Mansi Autonomous Okrug;Ural federal district;13.04.2020;;
Chelyabinsk region;Ural federal district;13.04.2020;3;
Chechen Republic;North Caucasus Federal District;13.04.2020;2;2
Yamal-Nenets Autonomous Okrug;Ural federal district;13.04.2020;4;
Yaroslavskaya oblast;Central Federal District;13.04.2020;;
Altai region;Siberian Federal District;14.04.2020;5;
Amur region;Far Eastern Federal District;14.04.2020;;
Arhangelsk region;Northwestern Federal District;14.04.2020;1;
Astrakhan region;Southern Federal District;14.04.2020;;
Belgorod region;Central Federal District;14.04.2020;10;
Bryansk region;Central Federal District;14.04.2020;;
Vladimir region;Central Federal District;14.04.2020;16;1
Volgograd region;Southern Federal District;14.04.2020;2;
Vologda Region;Northwestern Federal District;14.04.2020;7;
Voronezh region;Central Federal District;14.04.2020;8;1
Jewish Autonomous Region;Far Eastern Federal District;14.04.2020;;
Zabaykalsky Krai;Far Eastern Federal District;14.04.2020;;
Ivanovo region;Central Federal District;14.04.2020;10;
Irkutsk region;Siberian Federal District;14.04.2020;4;
Kabardino-Balkarian Republic;North Caucasus Federal District;14.04.2020;;
Kaliningrad region;Northwestern Federal District;14.04.2020;5;
Kaluga region;Central Federal District;14.04.2020;15;
Kamchatka Krai;Far Eastern Federal District;14.04.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;14.04.2020;3;
Kemerovo region;Siberian Federal District;14.04.2020;;
Kirov region;Volga Federal District;14.04.2020;;
Kostroma region;Central Federal District;14.04.2020;;
Krasnodar region;Southern Federal District;14.04.2020;5;
Krasnoyarsk region;Siberian Federal District;14.04.2020;21;
Kurgan region;Ural federal district;14.04.2020;;
Kursk region;Central Federal District;14.04.2020;;
Leningrad region;Northwestern Federal District;14.04.2020;35;
Lipetsk region;Central Federal District;14.04.2020;5;
Magadan Region;Far Eastern Federal District;14.04.2020;1;
Moscow;Central Federal District;14.04.2020;1489;13
Moscow region;Central Federal District;14.04.2020;460;5
Murmansk region;Northwestern Federal District;14.04.2020;;
Nizhny Novgorod Region;Volga Federal District;14.04.2020;68;
Novgorod region;Northwestern Federal District;14.04.2020;;
Novosibirsk region;Siberian Federal District;14.04.2020;;
Omsk region;Siberian Federal District;14.04.2020;;
Orenburg region;Volga Federal District;14.04.2020;8;
Oryol Region;Central Federal District;14.04.2020;7;
Penza region;Volga Federal District;14.04.2020;;
Perm region;Volga Federal District;14.04.2020;27;
Primorsky Krai;Far Eastern Federal District;14.04.2020;4;
Pskov region;Northwestern Federal District;14.04.2020;;
Republic of Adygea;Southern Federal District;14.04.2020;7;
Republic of Bashkortostan;Volga Federal District;14.04.2020;22;2
Republic of Buryatia;Far Eastern Federal District;14.04.2020;9;
Republic of Dagestan;North Caucasus Federal District;14.04.2020;16;
Republic of Ingushetia;North Caucasus Federal District;14.04.2020;;
Republic of Kalmykia;Southern Federal District;14.04.2020;;
Republic of Karelia;Northwestern Federal District;14.04.2020;;
Komi Republic;Northwestern Federal District;14.04.2020;97;
Republic of Crimea;Southern Federal District;14.04.2020;;
Mari El Republic;Volga Federal District;14.04.2020;11;
The Republic of Mordovia;Volga Federal District;14.04.2020;13;
The Republic of Sakha (Yakutia);Far Eastern Federal District;14.04.2020;1;
Republic of North Ossetia - Alania;North Caucasus Federal District;14.04.2020;18;
Republic of Tatarstan;Volga Federal District;14.04.2020;23;
Tyva Republic;Siberian Federal District;14.04.2020;;
The Republic of Khakassia;Siberian Federal District;14.04.2020;8;
Chuvash Republic;Volga Federal District;14.04.2020;;
Rostov region;Southern Federal District;14.04.2020;20;
Ryazan Oblast;Central Federal District;14.04.2020;27;
Samara Region;Volga Federal District;14.04.2020;11;
St. Petersburg;Northwestern Federal District;14.04.2020;121;
Saratov region;Volga Federal District;14.04.2020;5;
Sakhalin Oblast;Far Eastern Federal District;14.04.2020;;
Sverdlovsk region;Ural federal district;14.04.2020;8;
Sevastopol;Southern Federal District;14.04.2020;1;
Smolensk region;Central Federal District;14.04.2020;34;
Stavropol region;North Caucasus Federal District;14.04.2020;9;
Tambov Region;Central Federal District;14.04.2020;35;
Tver region;Central Federal District;14.04.2020;;
Tomsk region;Siberian Federal District;14.04.2020;7;
Tula region;Central Federal District;14.04.2020;;
Tyumen region;Ural federal district;14.04.2020;14;
Udmurtia;Volga Federal District;14.04.2020;6;
Ulyanovsk region;Volga Federal District;14.04.2020;;
Khabarovsk region;Far Eastern Federal District;14.04.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;14.04.2020;15;
Chelyabinsk region;Ural federal district;14.04.2020;5;
Chechen Republic;North Caucasus Federal District;14.04.2020;15;
Yamal-Nenets Autonomous Okrug;Ural federal district;14.04.2020;;
Yaroslavskaya oblast;Central Federal District;14.04.2020;;
Altai region;Siberian Federal District;15.04.2020;3;
Amur region;Far Eastern Federal District;15.04.2020;;
Arhangelsk region;Northwestern Federal District;15.04.2020;;
Astrakhan region;Southern Federal District;15.04.2020;17;1
Belgorod region;Central Federal District;15.04.2020;4;
Bryansk region;Central Federal District;15.04.2020;22;
Vladimir region;Central Federal District;15.04.2020;45;
Volgograd region;Southern Federal District;15.04.2020;1;
Vologda Region;Northwestern Federal District;15.04.2020;2;
Voronezh region;Central Federal District;15.04.2020;7;
Jewish Autonomous Region;Far Eastern Federal District;15.04.2020;;
Zabaykalsky Krai;Far Eastern Federal District;15.04.2020;;
Ivanovo region;Central Federal District;15.04.2020;25;
Irkutsk region;Siberian Federal District;15.04.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;15.04.2020;;
Kaliningrad region;Northwestern Federal District;15.04.2020;5;
Kaluga region;Central Federal District;15.04.2020;25;
Kamchatka Krai;Far Eastern Federal District;15.04.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;15.04.2020;7;
Kemerovo region;Siberian Federal District;15.04.2020;1;
Kirov region;Volga Federal District;15.04.2020;13;
Kostroma region;Central Federal District;15.04.2020;9;
Krasnodar region;Southern Federal District;15.04.2020;24;
Krasnoyarsk region;Siberian Federal District;15.04.2020;11;
Kurgan region;Ural federal district;15.04.2020;6;
Kursk region;Central Federal District;15.04.2020;31;
Leningrad region;Northwestern Federal District;15.04.2020;108;
Lipetsk region;Central Federal District;15.04.2020;11;
Magadan Region;Far Eastern Federal District;15.04.2020;;
Moscow;Central Federal District;15.04.2020;1774;11
Moscow region;Central Federal District;15.04.2020;272;2
Murmansk region;Northwestern Federal District;15.04.2020;137;
Nizhny Novgorod Region;Volga Federal District;15.04.2020;47;
Novgorod region;Northwestern Federal District;15.04.2020;;
Novosibirsk region;Siberian Federal District;15.04.2020;17;
Omsk region;Siberian Federal District;15.04.2020;2;
Orenburg region;Volga Federal District;15.04.2020;1;
Oryol Region;Central Federal District;15.04.2020;;
Penza region;Volga Federal District;15.04.2020;16;1
Perm region;Volga Federal District;15.04.2020;27;
Primorsky Krai;Far Eastern Federal District;15.04.2020;4;
Pskov region;Northwestern Federal District;15.04.2020;6;2
Republic of Adygea;Southern Federal District;15.04.2020;;
Republic of Bashkortostan;Volga Federal District;15.04.2020;20;2
Republic of Buryatia;Far Eastern Federal District;15.04.2020;6;1
Republic of Dagestan;North Caucasus Federal District;15.04.2020;5;3
Republic of Ingushetia;North Caucasus Federal District;15.04.2020;56;
Republic of Kalmykia;Southern Federal District;15.04.2020;3;2
Republic of Karelia;Northwestern Federal District;15.04.2020;4;
Komi Republic;Northwestern Federal District;15.04.2020;97;
Republic of Crimea;Southern Federal District;15.04.2020;2;
Mari El Republic;Volga Federal District;15.04.2020;27;
The Republic of Mordovia;Volga Federal District;15.04.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;15.04.2020;7;
Republic of North Ossetia - Alania;North Caucasus Federal District;15.04.2020;;
Republic of Tatarstan;Volga Federal District;15.04.2020;;
Tyva Republic;Siberian Federal District;15.04.2020;;
The Republic of Khakassia;Siberian Federal District;15.04.2020;6;
Chuvash Republic;Volga Federal District;15.04.2020;13;
Rostov region;Southern Federal District;15.04.2020;6;
Ryazan Oblast;Central Federal District;15.04.2020;;
Samara Region;Volga Federal District;15.04.2020;;
St. Petersburg;Northwestern Federal District;15.04.2020;130;1
Saratov region;Volga Federal District;15.04.2020;7;
Sakhalin Oblast;Far Eastern Federal District;15.04.2020;1;
Sverdlovsk region;Ural federal district;15.04.2020;12;
Sevastopol;Southern Federal District;15.04.2020;1;
Smolensk region;Central Federal District;15.04.2020;51;
Stavropol region;North Caucasus Federal District;15.04.2020;20;
Tambov Region;Central Federal District;15.04.2020;;
Tver region;Central Federal District;15.04.2020;42;
Tomsk region;Siberian Federal District;15.04.2020;;
Tula region;Central Federal District;15.04.2020;45;
Tyumen region;Ural federal district;15.04.2020;18;1
Udmurtia;Volga Federal District;15.04.2020;8;
Ulyanovsk region;Volga Federal District;15.04.2020;18;
Khabarovsk region;Far Eastern Federal District;15.04.2020;23;
Khanty-Mansi Autonomous Okrug;Ural federal district;15.04.2020;15;
Chelyabinsk region;Ural federal district;15.04.2020;3;
Chechen Republic;North Caucasus Federal District;15.04.2020;41;
Yamal-Nenets Autonomous Okrug;Ural federal district;15.04.2020;7;
Yaroslavskaya oblast;Central Federal District;15.04.2020;12;
Nenets Autonomous Okrug;Northwestern Federal District;15.04.2020;1;
Chukotka Autonomous Okrug;Far Eastern Federal District;15.04.2020;1;
Altai region;Siberian Federal District;16.04.2020;9;
Amur region;Far Eastern Federal District;16.04.2020;3;
Arhangelsk region;Northwestern Federal District;16.04.2020;1;
Astrakhan region;Southern Federal District;16.04.2020;13;2
Belgorod region;Central Federal District;16.04.2020;13;
Bryansk region;Central Federal District;16.04.2020;37;
Vladimir region;Central Federal District;16.04.2020;14;3
Volgograd region;Southern Federal District;16.04.2020;11;
Vologda Region;Northwestern Federal District;16.04.2020;15;
Voronezh region;Central Federal District;16.04.2020;14;
Jewish Autonomous Region;Far Eastern Federal District;16.04.2020;1;
Zabaykalsky Krai;Far Eastern Federal District;16.04.2020;14;
Ivanovo region;Central Federal District;16.04.2020;15;
Irkutsk region;Siberian Federal District;16.04.2020;6;
Kabardino-Balkarian Republic;North Caucasus Federal District;16.04.2020;19;
Kaliningrad region;Northwestern Federal District;16.04.2020;8;
Kaluga region;Central Federal District;16.04.2020;28;1
Kamchatka Krai;Far Eastern Federal District;16.04.2020;11;
Karachay-Cherkess Republic;North Caucasus Federal District;16.04.2020;7;
Kemerovo region;Siberian Federal District;16.04.2020;3;
Kirov region;Volga Federal District;16.04.2020;9;
Kostroma region;Central Federal District;16.04.2020;11;
Krasnodar region;Southern Federal District;16.04.2020;21;
Krasnoyarsk region;Siberian Federal District;16.04.2020;60;
Kurgan region;Ural federal district;16.04.2020;1;
Kursk region;Central Federal District;16.04.2020;31;2
Leningrad region;Northwestern Federal District;16.04.2020;32;
Lipetsk region;Central Federal District;16.04.2020;11;
Magadan Region;Far Eastern Federal District;16.04.2020;15;
Moscow;Central Federal District;16.04.2020;1370;7
Moscow region;Central Federal District;16.04.2020;467;7
Murmansk region;Northwestern Federal District;16.04.2020;41;
Nizhny Novgorod Region;Volga Federal District;16.04.2020;65;
Novgorod region;Northwestern Federal District;16.04.2020;27;
Novosibirsk region;Siberian Federal District;16.04.2020;11;1
Omsk region;Siberian Federal District;16.04.2020;1;
Orenburg region;Volga Federal District;16.04.2020;28;1
Oryol Region;Central Federal District;16.04.2020;32;
Penza region;Volga Federal District;16.04.2020;7;
Perm region;Volga Federal District;16.04.2020;18;
Primorsky Krai;Far Eastern Federal District;16.04.2020;4;
Pskov region;Northwestern Federal District;16.04.2020;5;
Republic of Adygea;Southern Federal District;16.04.2020;16;1
Republic of Bashkortostan;Volga Federal District;16.04.2020;42;
Republic of Buryatia;Far Eastern Federal District;16.04.2020;8;
Republic of Dagestan;North Caucasus Federal District;16.04.2020;49;3
Republic of Ingushetia;North Caucasus Federal District;16.04.2020;63;1
Republic of Kalmykia;Southern Federal District;16.04.2020;1;
Republic of Karelia;Northwestern Federal District;16.04.2020;1;
Komi Republic;Northwestern Federal District;16.04.2020;39;
Republic of Crimea;Southern Federal District;16.04.2020;3;
Mari El Republic;Volga Federal District;16.04.2020;29;
The Republic of Mordovia;Volga Federal District;16.04.2020;;1
The Republic of Sakha (Yakutia);Far Eastern Federal District;16.04.2020;2;
Republic of North Ossetia - Alania;North Caucasus Federal District;16.04.2020;;
Republic of Tatarstan;Volga Federal District;16.04.2020;21;
Tyva Republic;Siberian Federal District;16.04.2020;2;
The Republic of Khakassia;Siberian Federal District;16.04.2020;1;
Chuvash Republic;Volga Federal District;16.04.2020;47;1
Rostov region;Southern Federal District;16.04.2020;41;
Ryazan Oblast;Central Federal District;16.04.2020;38;
Samara Region;Volga Federal District;16.04.2020;10;
St. Petersburg;Northwestern Federal District;16.04.2020;154;2
Saratov region;Volga Federal District;16.04.2020;14;
Sakhalin Oblast;Far Eastern Federal District;16.04.2020;;
Sverdlovsk region;Ural federal district;16.04.2020;6;
Sevastopol;Southern Federal District;16.04.2020;;
Smolensk region;Central Federal District;16.04.2020;26;
Stavropol region;North Caucasus Federal District;16.04.2020;28;
Tambov Region;Central Federal District;16.04.2020;50;
Tver region;Central Federal District;16.04.2020;34;
Tomsk region;Siberian Federal District;16.04.2020;6;
Tula region;Central Federal District;16.04.2020;44;
Tyumen region;Ural federal district;16.04.2020;27;
Udmurtia;Volga Federal District;16.04.2020;15;
Ulyanovsk region;Volga Federal District;16.04.2020;19;
Khabarovsk region;Far Eastern Federal District;16.04.2020;14;
Khanty-Mansi Autonomous Okrug;Ural federal district;16.04.2020;39;
Chelyabinsk region;Ural federal district;16.04.2020;2;
Chechen Republic;North Caucasus Federal District;16.04.2020;3;
Yamal-Nenets Autonomous Okrug;Ural federal district;16.04.2020;22;
Yaroslavskaya oblast;Central Federal District;16.04.2020;23;
Nenets Autonomous Okrug;Northwestern Federal District;16.04.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;16.04.2020;;
Altai region;Siberian Federal District;17.04.2020;5;
Amur region;Far Eastern Federal District;17.04.2020;2;
Arhangelsk region;Northwestern Federal District;17.04.2020;1;
Astrakhan region;Southern Federal District;17.04.2020;4;
Belgorod region;Central Federal District;17.04.2020;12;
Bryansk region;Central Federal District;17.04.2020;27;1
Vladimir region;Central Federal District;17.04.2020;24;
Volgograd region;Southern Federal District;17.04.2020;4;
Vologda Region;Northwestern Federal District;17.04.2020;10;
Voronezh region;Central Federal District;17.04.2020;19;
Jewish Autonomous Region;Far Eastern Federal District;17.04.2020;6;
Zabaykalsky Krai;Far Eastern Federal District;17.04.2020;2;
Ivanovo region;Central Federal District;17.04.2020;13;
Irkutsk region;Siberian Federal District;17.04.2020;2;
Kabardino-Balkarian Republic;North Caucasus Federal District;17.04.2020;23;
Kaliningrad region;Northwestern Federal District;17.04.2020;12;
Kaluga region;Central Federal District;17.04.2020;20;
Kamchatka Krai;Far Eastern Federal District;17.04.2020;8;
Karachay-Cherkess Republic;North Caucasus Federal District;17.04.2020;19;
Kemerovo region;Siberian Federal District;17.04.2020;4;
Kirov region;Volga Federal District;17.04.2020;18;2
Kostroma region;Central Federal District;17.04.2020;9;
Krasnodar region;Southern Federal District;17.04.2020;30;
Krasnoyarsk region;Siberian Federal District;17.04.2020;29;
Kurgan region;Ural federal district;17.04.2020;1;
Kursk region;Central Federal District;17.04.2020;25;
Leningrad region;Northwestern Federal District;17.04.2020;24;
Lipetsk region;Central Federal District;17.04.2020;12;
Magadan Region;Far Eastern Federal District;17.04.2020;;
Moscow;Central Federal District;17.04.2020;1959;14
Moscow region;Central Federal District;17.04.2020;472;7
Murmansk region;Northwestern Federal District;17.04.2020;8;
Nizhny Novgorod Region;Volga Federal District;17.04.2020;54;
Novgorod region;Northwestern Federal District;17.04.2020;21;
Novosibirsk region;Siberian Federal District;17.04.2020;12;1
Omsk region;Siberian Federal District;17.04.2020;3;
Orenburg region;Volga Federal District;17.04.2020;38;
Oryol Region;Central Federal District;17.04.2020;12;
Penza region;Volga Federal District;17.04.2020;12;
Perm region;Volga Federal District;17.04.2020;12;
Primorsky Krai;Far Eastern Federal District;17.04.2020;9;
Pskov region;Northwestern Federal District;17.04.2020;5;
Republic of Adygea;Southern Federal District;17.04.2020;36;1
Republic of Bashkortostan;Volga Federal District;17.04.2020;22;3
Republic of Buryatia;Far Eastern Federal District;17.04.2020;3;
Republic of Dagestan;North Caucasus Federal District;17.04.2020;59;3
Republic of Ingushetia;North Caucasus Federal District;17.04.2020;38;
Republic of Kalmykia;Southern Federal District;17.04.2020;17;
Republic of Karelia;Northwestern Federal District;17.04.2020;1;
Komi Republic;Northwestern Federal District;17.04.2020;14;
Republic of Crimea;Southern Federal District;17.04.2020;3;
Mari El Republic;Volga Federal District;17.04.2020;32;
The Republic of Mordovia;Volga Federal District;17.04.2020;65;
The Republic of Sakha (Yakutia);Far Eastern Federal District;17.04.2020;3;
Republic of North Ossetia - Alania;North Caucasus Federal District;17.04.2020;13;
Republic of Tatarstan;Volga Federal District;17.04.2020;16;
Tyva Republic;Siberian Federal District;17.04.2020;1;
The Republic of Khakassia;Siberian Federal District;17.04.2020;11;
Chuvash Republic;Volga Federal District;17.04.2020;12;
Rostov region;Southern Federal District;17.04.2020;23;
Ryazan Oblast;Central Federal District;17.04.2020;30;
Samara Region;Volga Federal District;17.04.2020;13;
St. Petersburg;Northwestern Federal District;17.04.2020;424;
Saratov region;Volga Federal District;17.04.2020;17;
Sakhalin Oblast;Far Eastern Federal District;17.04.2020;7;
Sverdlovsk region;Ural federal district;17.04.2020;4;
Sevastopol;Southern Federal District;17.04.2020;4;
Smolensk region;Central Federal District;17.04.2020;7;1
Stavropol region;North Caucasus Federal District;17.04.2020;12;
Tambov Region;Central Federal District;17.04.2020;;
Tver region;Central Federal District;17.04.2020;37;
Tomsk region;Siberian Federal District;17.04.2020;;
Tula region;Central Federal District;17.04.2020;25;
Tyumen region;Ural federal district;17.04.2020;34;1
Udmurtia;Volga Federal District;17.04.2020;16;3
Ulyanovsk region;Volga Federal District;17.04.2020;15;2
Khabarovsk region;Far Eastern Federal District;17.04.2020;18;1
Khanty-Mansi Autonomous Okrug;Ural federal district;17.04.2020;18;
Chelyabinsk region;Ural federal district;17.04.2020;4;
Chechen Republic;North Caucasus Federal District;17.04.2020;7;
Yamal-Nenets Autonomous Okrug;Ural federal district;17.04.2020;6;
Yaroslavskaya oblast;Central Federal District;17.04.2020;19;
Nenets Autonomous Okrug;Northwestern Federal District;17.04.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;17.04.2020;1;
